episode,return,average_return,lines_cleared
721,-70.0,-94.65325936199723,1
722,-113.0,-94.6786703601108,0
723,-61.0,-94.63208852005532,1
724,-80.5,-94.61256906077348,1
725,-75.5,-94.58620689655173,0
726,-49.0,-94.52341597796143,1
727,-47.5,-94.45873452544704,1
728,-82.0,-94.44162087912088,1
729,-56.0,-94.38888888888889,0
730,-95.5,-94.39041095890411,1
731,-80.5,-94.37140902872777,1
732,-98.0,-94.37636612021858,0
733,-33.5,-94.29331514324693,0
734,-68.5,-94.25817438692098,1
735,-74.0,-94.23061224489796,0
736,-55.0,-94.1773097826087,1
737,-128.5,-94.22388059701493,1
738,-85.0,-94.21138211382114,1
739,-72.5,-94.18200270635995,0
740,-98.0,-94.18716216216217,0
741,-29.0,-94.09919028340082,0
742,-83.5,-94.08490566037736,1
743,-72.0,-94.05518169582773,2
744,-56.0,-94.00403225806451,0
745,-104.0,-94.01744966442953,0
746,-93.0,-94.01608579088472,3
747,-56.0,-93.96519410977243,0
748,-61.0,-93.9211229946524,1
749,-62.0,-93.8785046728972,0
750,-112.0,-93.90266666666666,1
751,-72.5,-93.87416777629826,0
752,-96.5,-93.87765957446808,0
753,-122.0,-93.91500664010624,0
754,-75.5,-93.89058355437666,0
755,-74.5,-93.86490066225166,1
756,-56.0,-93.81481481481481,4
757,-55.0,-93.76354029062087,1
758,-72.5,-93.73548812664907,0
759,-74.0,-93.7094861660079,0
760,-62.5,-93.66842105263157,1
761,-65.5,-93.63140604467806,1
762,-80.0,-93.61351706036746,0
763,-77.5,-93.59239842726082,1
764,-86.0,-93.58246073298429,0
765,-45.5,-93.51960784313725,0
766,-59.0,-93.47454308093995,0
767,-44.5,-93.41069100391134,1
768,-65.0,-93.37369791666667,0
769,-68.5,-93.34135240572172,1
770,-56.0,-93.29285714285714,0
771,-93.5,-93.29312581063554,0
772,-65.0,-93.25647668393782,0
773,-80.0,-93.23932729624838,0
774,-70.0,-93.20930232558139,1
775,-86.0,-93.2,0
776,-75.5,-93.17719072164948,0
